title,organization,sector,position_type,location,posted_date,deadline,salary,employment_type,source_page,posting_link,source,first_seen
Assistant Professor Of Information Systems,"California State University, Long Beach",Academia,Assistant Professor,CSULB IS Department,12/08/2026,,,,https://careercenter.informs.org/job/assistant-professor-of-information-systems-long-beach-california-5443,https://careercenter.informs.org/job/assistant-professor-of-information-systems-long-beach-california-5443,INFORMS Career Center,13/08/2026
Tenured Professorship in Innovation and Entrepreneurship,"ESMT Berlin Berlin, Schleswig-Holstein, Germany",Academia,Academic,ESMT Berlin,12/08/2026,,,,https://careercenter.informs.org/job/tenured-professorship-in-innovation-and-entrepreneurship-berlin-schleswig-holstein-5434,https://careercenter.informs.org/job/tenured-professorship-in-innovation-and-entrepreneurship-berlin-schleswig-holstein-5434,INFORMS Career Center,13/08/2026
Human-Computer Interaction - Teaching Faculty Position,"Mohamed bin Zayed University of Artificial Intelligence Abu Dhabi, Abu Dhabi, United Arab Emirates",Academia,Academic,Mohamed bin Zayed University of Artificial Intelligence,12/08/2026,,,,https://careercenter.informs.org/job/human-computer-interaction-teaching-faculty-position-abu-dhabi-abu-dhabi-5394,https://careercenter.informs.org/job/human-computer-interaction-teaching-faculty-position-abu-dhabi-abu-dhabi-5394,INFORMS Career Center,13/08/2026
IPAI Postdoctoral Fellow,Purdue University,Academia,Postdoctoral,Purdue University - Institute for Physical AI,12/08/2026,,"$70,000 Per Year",Full Time,https://careercenter.informs.org/job/ipai-postdoctoral-fellow-west-lafayette-indiana-5397,https://careercenter.informs.org/job/ipai-postdoctoral-fellow-west-lafayette-indiana-5397,INFORMS Career Center,13/08/2026
"Announcement of Tenure-Track Faculty Position in Decisions, Operations, and Technology Management (Assistant Professor)","University of California Los Angeles Los Angeles, California",Academia,Assistant Professor,University of California Los Angeles,12/08/2026,,,,https://careercenter.informs.org/job/announcement-of-tenure-track-faculty-position-in-decisions-operations-and-technology-management-assistant-professor-los-angeles-california-5475,https://careercenter.informs.org/job/announcement-of-tenure-track-faculty-position-in-decisions-operations-and-technology-management-assistant-professor-los-angeles-california-5475,INFORMS Career Center,29/08/2026
"Senior Manager, Business Application Consulting - SAP Finance","PricewaterhouseCoopers Advisory Services LLC Austin, Texas (Hybrid)",Industry,Industry / Non-Academic,PricewaterhouseCoopers Advisory Services LLC,12/08/2026,,,,https://careercenter.informs.org/job/senior-manager-business-application-consulting-sap-finance-austin-texas-5446,https://careercenter.informs.org/job/senior-manager-business-application-consulting-sap-finance-austin-texas-5446,INFORMS Career Center,13/08/2026
Faculty Position in Quantitative Marketing,"CATÃLICA-LISBON School of Business & Economics Lisbon, Lisbon, Portugal",Academia,Academic,CATÃLICA-LISBON School of Business & Economics,11/08/2026,,,,https://careercenter.informs.org/job/faculty-position-in-quantitative-marketing-lisbon-lisbon-5441,https://careercenter.informs.org/job/faculty-position-in-quantitative-marketing-lisbon-lisbon-5441,INFORMS Career Center,13/08/2026
Professor (Full),Imperial College London,Academia,Full Professor,Imperial College London,11/08/2026,,,,https://careercenter.informs.org/job/professor-full-london-england-5432,https://careercenter.informs.org/job/professor-full-london-england-5432,INFORMS Career Center,13/08/2026
Tenure Track Position in Business Technology,Carnegie Mellon University,Academia,Tenure-Track Faculty,"Tepper School of Business, Carnegie Mellon University",10/08/2026,,,,https://careercenter.informs.org/job/tenure-track-position-in-business-technology-pittsburgh-pennsylvania-5439,https://careercenter.informs.org/job/tenure-track-position-in-business-technology-pittsburgh-pennsylvania-5439,INFORMS Career Center,13/08/2026
Chair Professor/Professor/Associate Professor/Assistant Professor,"City University of Hong Kong Hong Kong, China",Academia,Assistant Professor,City University of Hong Kong,10/08/2026,,,,https://careercenter.informs.org/job/chair-professor-professor-associate-professor-assistant-professor-hong-kong-5466,https://careercenter.informs.org/job/chair-professor-professor-associate-professor-assistant-professor-hong-kong-5466,INFORMS Career Center,29/08/2026
"Open Rank: Assistant/ Associate/ Full Professor Operations Management, Supply Chain Management, Operations Research, Management Science, and Industrial & Systems Engineering",Hamad Bin Khalifa University,Academia,Open Rank Faculty,Hamad Bin Khalifa University (HBKU),10/08/2026,,,Full Time,https://careercenter.informs.org/job/open-rank-assistant-associate-full-professor-operations-management-supply-chain-management-operations-research-management-science-and-industrial-systems-engineering-ar-rayyan-5342,https://careercenter.informs.org/job/open-rank-assistant-associate-full-professor-operations-management-supply-chain-management-operations-research-management-science-and-industrial-systems-engineering-ar-rayyan-5342,INFORMS Career Center,13/08/2026
"Assistant/Associate/Full Professor positions, Kelley School of Business (Operations and Decision Technologies, Operations Management)","Kelley School of Business-Indiana University Bloomington, Indiana",Academia,Full Professor,Kelley School of Business-Indiana University,10/08/2026,,,,https://careercenter.informs.org/job/assistant-associate-full-professor-positions-kelley-school-of-business-operations-and-decision-technologies-operations-management-bloomington-indiana-5404,https://careercenter.informs.org/job/assistant-associate-full-professor-positions-kelley-school-of-business-operations-and-decision-technologies-operations-management-bloomington-indiana-5404,INFORMS Career Center,13/08/2026
2026 Global Faculty Recruitment at Shandong University of Finance and Economics,"Shandong University of Finance and Economics‌‌ Jinan, Shandong, China",Academia,Academic,Shandong University of Finance and Economics‌‌,10/08/2026,,,,https://careercenter.informs.org/job/2026-global-faculty-recruitment-at-shandong-university-of-finance-and-economics-jinan-shandong-5390,https://careercenter.informs.org/job/2026-global-faculty-recruitment-at-shandong-university-of-finance-and-economics-jinan-shandong-5390,INFORMS Career Center,13/08/2026
"Faculty Position: Technology and Operations, University of Michigan, Ross School of Business","University of Michigan, Ross School of Business",Academia,Other,,10/07/2026,,,,https://connect.informs.org/discussion/faculty-position-technology-and-operations-university-of-michigan-ross-school-of-business-3,https://apply.interfolio.com/188537,INFORMS Connect - Available Positions,13/08/2026
Assistant/Associate Professor of Operations Management,University of Chicago,Academia,Associate Professor,The University of Chicago Booth School of Business,09/07/2026,,,,https://careercenter.informs.org/job/assistant-associate-professor-of-operations-management-chicago-illinois-5464,https://careercenter.informs.org/job/assistant-associate-professor-of-operations-management-chicago-illinois-5464,INFORMS Career Center,29/08/2026
Associate or Full Professor Technology & Operations-Cognitive Manufacturing,"University of Michigan, Ross School of Business",Academia,Full Professor,"University of Michigan, Ross School of Business",09/07/2026,,,,https://careercenter.informs.org/job/associate-or-full-professor-technology-operations-cognitive-manufacturing-ann-arbor-michigan-5430,https://careercenter.informs.org/job/associate-or-full-professor-technology-operations-cognitive-manufacturing-ann-arbor-michigan-5430,INFORMS Career Center,13/08/2026
Operations Research Scientist,"Optym Dallas, Texas",Industry,Research Scientist,Optym,09/07/2026,,"$100,000 - $130,000 Per Year",Full Time,https://careercenter.informs.org/job/operations-research-scientist-dallas-texas-5426,https://careercenter.informs.org/job/operations-research-scientist-dallas-texas-5426,INFORMS Career Center,13/08/2026
Senior Operations Research Scientist,"Optym Dallas, Texas",Industry,Research Scientist,Optym,09/07/2026,,"$120,000 - $140,000 Per Year",Full Time,https://careercenter.informs.org/job/senior-operations-research-scientist-dallas-texas-5425,https://careercenter.informs.org/job/senior-operations-research-scientist-dallas-texas-5425,INFORMS Career Center,13/08/2026
Tenured Professorship in Innovation and Entrepreneurship,"ESMT Berlin Berlin,Berlin, Germany",Academia,Academic,ESMT Berlin,28/08/2026,,,,https://careercenter.informs.org/job/tenured-professorship-in-innovation-and-entrepreneurship-berlin-berlin-5434,https://careercenter.informs.org/job/tenured-professorship-in-innovation-and-entrepreneurship-berlin-berlin-5434,INFORMS Career Center,29/08/2026
Tenure Track Faculty Position Computer Information Systems Department College of Business Administration,"Cal Poly Pomona Pomona, California",Academia,Tenure-Track Faculty,Cal Poly Pomona,27/08/2026,,"$132,000 - $136,008 Per Year",Full Time,https://careercenter.informs.org/job/tenure-track-faculty-position-computer-information-systems-department-college-of-business-administration-pomona-california-5455,https://careercenter.informs.org/job/tenure-track-faculty-position-computer-information-systems-department-college-of-business-administration-pomona-california-5455,INFORMS Career Center,29/08/2026
Academic Postion in Operations Mangement,KU Leuven,Academia,Academic,KU Leuven,27/08/2026,,,Full Time,https://careercenter.informs.org/job/academic-postion-in-operations-mangement-leuven-flanders-5410,https://careercenter.informs.org/job/academic-postion-in-operations-mangement-leuven-flanders-5410,INFORMS Career Center,13/08/2026
Biological and Life Sciences Division – Research Appointment Positions,"Mohamed bin Zayed University of Artificial Intelligence Abu Dhabi, Abu Dhabi, United Arab Emirates",Academia,Academic,Mohamed bin Zayed University of Artificial Intelligence,27/08/2026,,,,https://careercenter.informs.org/job/biological-and-life-sciences-division-research-appointment-positions-abu-dhabi-abu-dhabi-5428,https://careercenter.informs.org/job/biological-and-life-sciences-division-research-appointment-positions-abu-dhabi-abu-dhabi-5428,INFORMS Career Center,13/08/2026
